SMILES;organic;organic_modifier;additive;additive_concentration_mM;name;logIE;instrument;source;logIE_pred;viscosity_old;surface_tension_old;polarity_index_old;pH.aq.;NH4
OC(=O)c1ccccc1;20;MeCN;ammonia;41;benzoic acid;0.11;Agilent XCT;ESI;0.144939181;0.93;42.11062016;9.32;10.5;1
OC(=O)c1cc(cc(c1)[N+]([O-])=O)[N+]([O-])=O;20;MeCN;ammonia;41;3,5-dinitrobenzoic acid;1.26;Agilent XCT;ESI;1.171373256;0.93;42.11062016;9.32;10.5;1
OC(=O)c1cccc(c1)C(F)(F)F;20;MeCN;ammonia;41;3-trifluoromethylbenzoic acid;1.37;Agilent XCT;ESI;1.2748425;0.93;42.11062016;9.32;10.5;1
Oc1c(F)c(F)c(F)c(F)c1F;20;MeCN;ammonia;41;pentafluorophenol;1.55;Agilent XCT;ESI;1.276771667;0.93;42.11062016;9.32;10.5;1
CC(C)(C)c1ccc(cc1)C(O)=O;20;MeCN;ammonia;41;4-tert-butylbenzoic acid;1.36;Agilent XCT;ESI;1.075420042;0.93;42.11062016;9.32;10.5;1
Oc1c(F)c(F)c(c(F)c1F)c2c(F)c(F)c(F)c(F)c2F;20;MeCN;ammonia;41;4-(pentafluorophenyl)-2,3,5,6-tetrafluorophenol;2.69;Agilent XCT;ESI;2.198109373;0.93;42.11062016;9.32;10.5;1
Oc1c(c(c(c(c1C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F;20;MeCN;ammonia;41;pentakis(trifluoromethyl)phenol;2.6;Agilent XCT;ESI;2.543371688;0.93;42.11062016;9.32;10.5;1
Oc1ccc(cc1)c2ccccc2;20;MeCN;ammonia;41;4-phenylphenol;0.62;Agilent XCT;ESI;0.401621474;0.93;42.11062016;9.32;10.5;1
Oc1ccccc1c2ccccc2;20;MeCN;ammonia;41;2-phenylphenol;0.45;Agilent XCT;ESI;0.318568333;0.93;42.11062016;9.32;10.5;1
OC(=O)c1cccc(Cl)c1;20;MeCN;ammonia;41;3-chlorobenzoic acid;0.77;Agilent XCT;ESI;0.453521782;0.93;42.11062016;9.32;10.5;1
Nc1ccc(cc1)C(O)=O;20;MeCN;ammonia;41;4-aminobenzoic acid;0.08;Agilent XCT;ESI;-0.112185346;0.93;42.11062016;9.32;10.5;1
OC(=O)c1ccc(O)cc1;20;MeCN;ammonia;41;4-hydroxybenzoic acid;0.37;Agilent XCT;ESI;0.186496086;0.93;42.11062016;9.32;10.5;1
Nc1cccc(c1)C(O)=O;20;MeCN;ammonia;41;3-aminobenzoic acid;0.21;Agilent XCT;ESI;-0.13204881;0.93;42.11062016;9.32;10.5;1
OC(=O)c1c(F)c(F)c(F)c(F)c1F;20;MeCN;ammonia;41;pentafluorobenzoic acid;0.95;Agilent XCT;ESI;0.927531667;0.93;42.11062016;9.32;10.5;1
Oc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O;20;MeCN;ammonia;41;2,4-dinitrophenol;1.2;Agilent XCT;ESI;1.192289695;0.93;42.11062016;9.32;10.5;1
CN(C)c1cccc(c1)C(O)=O;20;MeCN;ammonia;41;3-dimethylaminobenzoic acid;1.05;Agilent XCT;ESI;0.627198016;0.93;42.11062016;9.32;10.5;1
CC(C)c1ccc(cc1)C(O)=O;20;MeCN;ammonia;41;4-isopropylbenzoic acid;0.67;Agilent XCT;ESI;0.196035657;0.93;42.11062016;9.32;10.5;1
CC(C)(C)c1ccccc1O;20;MeCN;ammonia;41;2-tert-butylphenol;-0.09;Agilent XCT;ESI;-0.285354683;0.93;42.11062016;9.32;10.5;1
