SMILES;organic;organic_modifier;additive;additive_concentration_mM;name;logIE;instrument;source;logIE_pred;viscosity_old;surface_tension_old;polarity_index_old;pH.aq.;NH4
ClC1=CC=C(C2=C(O)C(Cl)=C(Cl)C=C2)C=C1Cl;80;MeCN;ammonium acetate;10;2-OH-3,3',4,4'-tetrachlorobiphenyl;3.16763326175;Cyclic IMS;ESI;1.67164;;;;6.89;1
ClC1=C(O)C(Cl)=C(Cl)C(C2=C(Cl)C(Cl)=C(O)C=C2)=C1;80;MeCN;ammonium acetate;10;4,4'-diOH-2,2',3,3',5-pentachlorobiphenyl;3.163539895;Cyclic IMS;ESI;1.783152;;;;6.89;1
ClC1=C(Cl)C=C(C2=CC(Cl)=C(O)C(Cl)=C2)C=C1;80;MeCN;ammonium acetate;10;4-OH-3,3',4',5-tetrachlorobiphenyl;0;Cyclic IMS;ESI;1.883857;;;;6.89;1
ClC1=C(Cl)C=C(C2=C(Cl)C(Cl)=C(O)C(Cl)=C2Cl)C=C1Cl;80;MeCN;ammonium acetate;10;4-OH-2,3,3',4',5,5',6-heptachlorobiphenyl;2.819643098;Cyclic IMS;ESI;1.808635;;;;6.89;1
ClC1=C(Cl)C(Cl)=C(C2=CC(Cl)=C(O)C(Cl)=C2Cl)C=C1;80;MeCN;ammonium acetate;10;4-OH-2,2',3,3',4',5-Hexachlorobiphenyl;2.7412123105;Cyclic IMS;ESI;1.92409;;;;6.89;1
ClC1=CC(Cl)=C(Cl)C=C1C2=CC(Cl)=C(O)C(Cl)=C2;80;MeCN;ammonium acetate;10;4-OH-2',3,4',5,5'-pentachlorobiphenyl;2.961669175;Cyclic IMS;ESI;1.702707;;;;6.89;1
ClC1=C(Cl)C(Cl)=C(C2=CC(Cl)=C(O)C(Cl)=C2)C=C1;80;MeCN;ammonium acetate;10;4-OH-2',3,3',4',5-pentachlorobiphenyl;3.227222961;Cyclic IMS;ESI;1.76359;;;;6.89;1
OC1=C(Cl)C=C(C2=CC(Cl)=C(O)C(Cl)=C2Cl)C=C1Cl;80;MeCN;ammonium acetate;10;4,4'-diOH-2,3,3',5,5'-pentachlorobiphenyl;3.3893307415;Cyclic IMS;ESI;1.937152;;;;6.89;1
ClC1=C(Cl)C(O)=C(C2=CC(Cl)=C(O)C(Cl)=C2Cl)C=C1;80;MeCN;ammonium acetate;10;4,2'-diOH-2,3,3',4',5-pentachlorobiphenyl;3.09056035775;Cyclic IMS;ESI;1.691402;;;;6.89;1
OC(C(Cl)=C1)=CC=C1C2=CC(Cl)=C(Cl)C=C2;80;MeCN;ammonium acetate;10;4-OH-3,3',4'-trichlorobiphenyl;2.4120423395;Cyclic IMS;ESI;1.58829;;;;6.89;1
OC(C(Cl)=C1)=C(Cl)C=C1C2=CC(Cl)=C(Cl)C(Cl)=C2;80;MeCN;ammonium acetate;10;4-OH-3,3',4',5',5-pentachlorobiphenyl;3.13550876325;Cyclic IMS;ESI;1.931507;;;;6.89;1
ClC1=C(O)C(Cl)=C(C2=CC(Cl)=C(O)C(Cl)=C2Cl)C=C1;80;MeCN;ammonium acetate;10;4,3'-diOH-2,2',3,4',5-pentachlorobiphenyl;2.901226176;Cyclic IMS;ESI;1.920218;;;;6.89;1
ClC1=CC=C(C2=C(O)C(Cl)=C(Cl)C=C2)C=C1Cl;77.3076543209877;MeCN;ammonium acetate;10;2-OH-3,3',4,4'-tetrachlorobiphenyl;3.42064264456706;Cyclic IMS;ESI;1.67164;;;;6.89;1
ClC1=C(O)C(Cl)=C(Cl)C(C2=C(Cl)C(Cl)=C(O)C=C2)=C1;49.4059259259259;MeCN;ammonium acetate;10;4,4'-diOH-2,2',3,3',5-pentachlorobiphenyl;2.87557309251171;Cyclic IMS;ESI;1.914568;;;;6.89;1
ClC1=C(Cl)C=C(C2=CC(Cl)=C(O)C(Cl)=C2)C=C1;70.2261728395062;MeCN;ammonium acetate;10;4-OH-3,3',4',5-tetrachlorobiphenyl;0;Cyclic IMS;ESI;1.796457;;;;6.89;1
ClC1=C(Cl)C=C(C2=C(Cl)C(Cl)=C(O)C(Cl)=C2Cl)C=C1Cl;58.197037037037;MeCN;ammonium acetate;10;4-OH-2,3,3',4',5,5',6-heptachlorobiphenyl;2.92598710143761;Cyclic IMS;ESI;1.833135;;;;6.89;1
